Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Longitude,Latitude
270,Kedzie Ave & 21st St,Kedzie Ave & 21st St,11,10,in service,-87.70507303,41.85353363
272,Kedzie Ave & 24th St,Kedzie Ave & 24th St,11,11,in service,-87.70541375,41.84819095
237,Kedzie Ave & Chicago Ave,Kedzie Ave & Chicago Ave,11,10,in service,-87.70612788,41.8954653
264,Kedzie Ave & Harrison St,Kedzie Ave & Harrison St,11,10,in service,-87.70487075,41.87359968
241,Kedzie Ave & Lake St,Kedzie Ave & Lake St,15,15,in service,-87.70630374,41.88460329
266,Kedzie Ave & Roosevelt Rd,Kedzie Ave & Roosevelt Rd,11,11,in service,-87.70649618,41.86649278
295,Kenton Ave & Madison St,Kenton Ave & Madison St,11,11,in service,-87.741018,41.880708
62,Kingsbury St & Erie St,511 W Erie St,23,23,in service,-87.641527,41.893626
105,Kingsbury St & Kinzie St,Kingsbury St & Kinzie St,31,29,in service,-87.63850577,41.88917683
303,Kostner Ave & Adams St,Kostner Ave & Adams St,11,11,in service,-87.735737,41.877917
294,Kostner Ave & Lake St,Kostner Ave & Lake St,11,11,in service,-87.73541,41.885928
252,Lake Park Ave & 35th St,Lake Park Ave & 35th St,19,19,in service,-87.6087992,41.83127424
187,Lake Park Ave & 47th St,Lake Park Ave & 47th St,15,15,in service,-87.591875,41.809443
64,Lake Shore Dr & Monroe St,402 E Monroe St,39,37,in service,-87.616743,41.880958
188,Lake Shore Dr & North Blvd,Lake Shore Dr & North Blvd,39,34,in service,-87.626804,41.911722
81,Lake Shore Dr & Ohio St,Lake Shore Dr & Ohio St,19,17,in service,-87.614492,41.89257
301,Laramie Ave & Gladys Ave,Laramie Ave & Gladys Ave,11,11,in service,-87.755285,41.875806
288,Laramie Ave & Kinzie St,Laramie Ave & Kinzie St,11,11,in service,-87.755527,41.887832
298,Laramie Ave & Madison St,Laramie Ave & Madison St,11,10,in service,-87.755337,41.880207
206,Larrabee St & Armitage Ave,Off Street,15,15,in service,-87.643749,41.918084
229,Larrabee St & Division St,Larrabee St & Division St,23,22,in service,-87.64335349,41.90348607
41,Larrabee St & Kingsbury St,840 N Larrabee St,43,43,in service,-87.642884,41.897764
22,Larrabee St & Menomonee St,590 W. Menomonee,15,15,in service,-87.64332,41.91468
21,Larrabee St & North Ave,1530 N.Larrabee st,19,18,in service,-87.6435,41.91021
230,Larrabee St & Oak St,Larrabee St & Oak St,19,19,in service,-87.64298547,41.90021949
321,LaSalle Dr & Huron St (*),LaSalle Dr & Huron St(*),20,19,in service,-87.632326,41.894877
33,LaSalle St & Adams St,LaSalle St & Adams St,15,14,in service,-87.63198522,41.87934437
138,LaSalle St & Illinois St,On Street,31,31,in service,-87.631697,41.890762
201,LaSalle St & Jackson Blvd,LaSalle St & Jackson Blvd,35,32,in service,-87.631242,41.878217
80,LaSalle St & Washington St,LaSalle St & Washington St,15,13,in service,-87.63253,41.882664
7,Leavitt St & Archer Ave,NA1,15,15,in service,-87.68060446,41.82879202
211,Leavitt St & Armitage Ave,Leavitt St & Armitage Ave,11,1,in service,-87.682437,41.917805
165,Leavitt St & North Ave,Leavitt St & North Ave,15,15,in service,-87.68229,41.910153
232,Loomis St & Archer Ave,Loomis St & Archer Ave,11,11,in service,-87.65743495,41.84163254
115,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,19,18,in service,-87.662007,41.877945
214,Loomis St & Lexington St,Loomis St & Lexington St,19,18,in service,-87.661501,41.872187
13,Loomis St & Taylor St (*),Loomis St & Taylor St (*),16,16,in service,-87.659141,41.868968
323,Malcolm X College,Malcolm X College,19,18,in service,-87.673895,41.877618
307,Marshfield Ave & 44th St,Marshfield Ave & 44th St,11,11,in service,-87.666589,41.813996
51,Marshfield Ave & Cortland St,Marshfield Ave & Cortland St,23,21,in service,-87.668879,41.916017
129,May St & Cullerton St,May St & Cullerton St,11,11,in service,-87.654127,41.855136
16,May St & Taylor St,1134 W. Taylor St,15,15,in service,-87.6554864,41.8694821
113,McClurg Ct & Erie St,660 N McClurg Ct,31,27,in service,-87.617854,41.894503
20,McClurg Ct & Illinois St,McClurg Ct & Illinois St,31,31,in service,-87.617532,41.890359
55,McCormick Place,2253 S Dr Martin Luther King Jr Dr,27,25,in service,-87.61883465,41.85137517
